Date	S&P
1/4/08	1411.63
1/7/08	1416.18
1/8/08	1390.19
1/9/08	1409.13
1/10/08	1420.33
1/11/08	1401.02
1/14/08	1416.25
1/15/08	1380.95
1/16/08	1373.2
1/17/08	1333.25
1/18/08	1325.19
1/22/08	1310.5
1/23/08	1338.6
1/24/08	1352.07
1/25/08	1330.61
1/28/08	1353.96
1/29/08	1362.3
1/30/08	1355.81
1/31/08	1378.55
2/1/08	1395.42
2/4/08	1380.82
2/5/08	1336.64
2/6/08	1326.45
2/7/08	1336.91
2/8/08	1331.29
2/11/08	1339.13
2/12/08	1348.86
2/13/08	1367.21
2/14/08	1348.86
2/15/08	1349.99
2/19/08	1348.78
2/20/08	1360.03
2/21/08	1342.53
2/22/08	1353.11
2/25/08	1371.8
2/26/08	1381.29
2/27/08	1380.02
2/28/08	1367.68
2/29/08	1330.63
3/3/08	1331.34
3/4/08	1326.75
3/5/08	1333.7
3/6/08	1304.34
3/7/08	1293.37
3/10/08	1273.37
3/11/08	1320.65
3/12/08	1308.77
3/13/08	1315.48
3/14/08	1288.14
3/17/08	1276.6
3/18/08	1330.74
3/19/08	1298.42
3/20/08	1329.51
3/24/08	1349.88
3/25/08	1352.99
3/26/08	1341.13
3/27/08	1325.76
3/28/08	1315.22
3/31/08	1322.7
4/1/08	1370.18
4/2/08	1367.53
4/3/08	1369.31
4/4/08	1370.4
4/7/08	1372.54
4/8/08	1365.54
4/9/08	1354.49
4/10/08	1360.55
4/11/08	1332.83
4/14/08	1328.32
4/15/08	1334.43
4/16/08	1364.71
4/17/08	1365.56
4/18/08	1390.33
4/21/08	1388.17
4/22/08	1375.94
4/23/08	1379.93
4/24/08	1388.82
4/25/08	1397.84
4/28/08	1396.37
4/29/08	1390.94
4/30/08	1385.59
5/1/08	1409.34
5/2/08	1413.9
5/5/08	1407.49
5/6/08	1418.26
5/7/08	1392.57
5/8/08	1397.68
5/9/08	1388.28
5/12/08	1403.58
5/13/08	1403.04
5/14/08	1408.66
5/15/08	1423.57
5/16/08	1425.35
5/19/08	1426.63
5/20/08	1413.4
5/21/08	1390.71
5/22/08	1394.35
5/23/08	1375.93
5/27/08	1385.35
5/28/08	1390.84
5/29/08	1398.26
